id,name,matchedName,resultType,confidence,similarity,lat,lng,address,status
r501,Noodle Wave McKinney,Noodle Wave,amenity,0.667,1,32.9407698,-96.7683535,"Noodle Wave, 1490 W Spring Valley Rd West Spring Valley Road, Richardson, TX 75080, United States of America",review
r530,A1 Burger House,Burger House,amenity,0.667,1,32.8360863,-96.7561938,"Burger House, 6248 East Mockingbird Lane, Dallas, TX 75214, United States of America",review
r563,Louisiana Famous Fried Chicken & Seafood / JMN Chicken Mart,Louisiana Fried Chicken and Seafood,amenity,0.667,0.8,32.6410338,-97.3953167,"Louisiana Fried Chicken and Seafood, 7289 South Hulen Street, Fort Worth, TX 76123, United States of America",review
r443,Deccan Grill - Irving,Gyro Oasis Deli and Grill,amenity,0.656,0.333,32.9201193,-96.9949878,"Gyro Oasis Deli and Grill, 3550 Regent Boulevard, Irving, TX 75063, United States of America",review
r237,101 | Paratha,101 Parantha,amenity,0.63,0.5,32.9211381,-96.9895772,"101 Parantha, 3311 Regent Boulevard, Irving, TX 75063, United States of America",review
r487,Bawarchi Indian Cuisine - Richardson,Sigree Indian Cuisine,amenity,0.563,0.667,32.954792,-96.839975,"Sigree Indian Cuisine, Addison, TX 75001, United States of America",review
r175,Bonchon Richardson - Audelia Rd.,Bonchon Chicken,amenity,0.534,0.5,32.9983102,-96.696657,"Bonchon Chicken, Sparrow Lane, Richardson, TX 75074, United States of America",review
r39,K KORNER FOOD STORE-HALAL GRILL,Korner Food Store,amenity,0.5,1,32.8724159,-97.0834659,"Korner Food Store, 2501 North Main Street, Euless, TX 76039, United States of America",review
r48,Spice Shawarma,Spice,amenity,0.5,1,32.7305117,-97.3294217,"Spice, 411 West Magnolia Avenue, Fort Worth, TX 76104, United States of America",review
r95,Heritage Coffee,Merit Coffee,amenity,0.5,0.5,32.7839686,-96.7847921,"Merit Coffee, 2639 Main Street, Dallas, TX 75226, United States of America",review
r178,Bigdash Garland,Bigdash,amenity,0.5,1,32.9565831,-96.6161867,"Bigdash, 245 Lavon Drive, Garland, TX 75040, United States of America",review
r179,Bigdash Irving,Bigdash,amenity,0.5,1,32.956583,-96.616187,"Bigdash, Garland, TX 75040, United States of America",review
r185,"Nest Burger | Plano, Preston Rd.",Preston Road,street,0.5,0.5,32.844345,-96.804306,"Preston Road, University Park, TX 75205, United States of America",review
r232,Sultan Cafe,Sultan,amenity,0.5,1,33.1611724,-96.6801218,"Sultan, 3935 Lake Forest Drive, McKinney, TX 75070, United States of America",review
r376,Chicago Pizza & Pasta(HALAL),Chicago Pizza,amenity,0.5,1,32.7690173,-97.0963316,"Chicago Pizza, 2141 North Collins Street, Arlington, TX 76011, United States of America",review
r455,CAFE LAZIZ,Cafe Brazil,amenity,0.5,0.5,32.7849655,-96.7830206,"Cafe Brazil, 2815 Elm Street, Dallas, TX 75226, United States of America",review
r497,Bigdash Richardson,Bigdash,amenity,0.5,1,32.956583,-96.616187,"Bigdash, Garland, TX 75040, United States of America",review
r513,"Bombay Chowpatty | Best Indian Street Food & Chaat in Irving, Tx",Irving,city,0.5,1,32.8295183,-96.9442177,"Irving, TX, United States of America",review
r515,Our Place Indian Cuisine,Our Place,amenity,0.5,1,32.562399,-97.3174945,"Our Place, 950 North Burleson Boulevard, Burleson, TX 76028, United States of America",review
r589,Boba Latte,Craft Boba Tea,amenity,0.5,0.5,32.7784503,-96.8291337,"Craft Boba Tea, 320 Singleton Boulevard, Dallas, TX 75212, United States of America",review
r587,Chop House Gyro - Plano,Gyro & Burrito House,amenity,0.488,0.667,32.821675,-97.057544,"Gyro & Burrito House, Fort Worth, TX 76155, United States of America",review
r278,"Spice Rack, PLANO / Biryani Pot - Restaurant & Banquet Hall",Terrace Restaurant,amenity,0.405,0.5,32.821125,-96.718683,"Terrace Restaurant, Dallas, TX 75218, United States of America",review
r83,Shah's Halal Food - Carrollton,Halal Import Food Market,amenity,0.259,0.5,32.7092935,-97.0989873,"Halal Import Food Market, 701 Pioneer Parkway, Arlington, TX 76010, United States of America",review
r20,"FALAFEL AVE (COPPELL, TX 75019)",Coppell,city,0.25,1,32.9552598,-97.0155703,"Coppell, TX 75019, Dallas County, United States of America",review
r32,Clutch City Cluckers - Frisco,Frisco,city,0.25,1,33.1505998,-96.8238183,"Frisco, TX, United States of America",review
r317,Irving Kabab N Kurry,Irving,city,0.25,1,32.860125,-96.978893,"Irving, TX, United States of America",review
r573,"Abu Omar Halal - Richardson, TX",Richardson,city,0.25,1,32.9481789,-96.7297206,"Richardson, TX, United States of America",review
r89,Qahwah House Coffee - McKinney Dallas,Ramble Coffee House,amenity,0.227,0.667,33.3497484,-96.768686,"Ramble Coffee House, 2287 Ramble Way, Celina, TX 75009, United States of America",review
r170,"Mama Miyan - Falooda, Ice Cream and More",Hemp & More,amenity,0.205,0.5,32.9766737,-96.7220206,"Hemp & More, 2050 North Collins Boulevard, Richardson, TX 75080, United States of America",review
r161,Chicago Pizza and Grill (حلال),Vitto's Pizza & Grill,amenity,0.169,0.5,32.929775,-96.660808,"Vitto's Pizza & Grill, 2210 W Buckingham Rd, Garland, TX 75042, United States of America",review
r377,K - Banquets and Event Center,"Sterling Hotel Convention, Meeting and Event Center",amenity,0.158,0.6,32.827402,-96.887784,"Sterling Hotel Convention, Meeting and Event Center, 1055 Regal Row, Dallas, TX 75247, United States of America",review
r446,Spicy Zest - Restaurant & Bar,Baron Drive,street,0.151,0,32.521962,-96.909289,"Baron Drive, Ellis County, TX 76065, United States of America",review
r216,Cafe De Khan - Plano,Cafe de France,amenity,0.117,0.667,32.989135,-96.801713,"Cafe de France, Dallas, TX 75252, United States of America",review
